Etat;adresse;prix;image_lien;details
Neuf;Liberte 6;15 000 F Cfa;https://i.roamcdn.net/hz/ed/listing-thumb-543w/af5e8b3bfabed23e0ecdcce5c7e493c7/-/horizon-files-prod/ed/picture/qjvr5r5/0b64ecb4e4633f085994dd7d4924e2d55bac6989.jpg;https://www.expat-dakar.com/annonce/mini-compresseur-dair-portablegonfleur-4954781
Neuf;Dakar;15 000 F Cfa;https://i.roamcdn.net/hz/ed/listing-thumb-543w/af5e8b3bfabed23e0ecdcce5c7e493c7/-/horizon-files-prod/ed/picture/qjvr5r5/0b64ecb4e4633f085994dd7d4924e2d55bac6989.jpg;https://www.expat-dakar.com/annonce/mini-compresseur-dair-portablegonfleur-4954781
Neuf;Liberte 6;10 000 F Cfa;https://i.roamcdn.net/hz/ed/listing-thumb-543w/a750cbcf12c93e9742e8bf523857c829/-/horizon-files-prod/ed/picture/q945mr8/8a99a0160f35a40fde5adeecdb5463dba8e04060.jpg;https://www.expat-dakar.com/annonce/lecteur-mp3-t10-voiture-4983904
Neuf;Dakar;10 000 F Cfa;https://i.roamcdn.net/hz/ed/listing-thumb-543w/a750cbcf12c93e9742e8bf523857c829/-/horizon-files-prod/ed/picture/q945mr8/8a99a0160f35a40fde5adeecdb5463dba8e04060.jpg;https://www.expat-dakar.com/annonce/lecteur-mp3-t10-voiture-4983904
D'occasion;VDN;;https://i.roamcdn.net/hz/ed/listing-thumb-543w/f0e76032cd84fc9931065d55fea127bc/-/horizon-files-prod/ed/picture/q68gzrn/fef77b70c6fe5f8f4bf148485b1cc4763f61ae20.jpg;https://www.expat-dakar.com/annonce/phares-autos-3497544
D'occasion;Dakar;;https://i.roamcdn.net/hz/ed/listing-thumb-543w/f0e76032cd84fc9931065d55fea127bc/-/horizon-files-prod/ed/picture/q68gzrn/fef77b70c6fe5f8f4bf148485b1cc4763f61ae20.jpg;https://www.expat-dakar.com/annonce/phares-autos-3497544
Neuf;Plateau;50 000 F Cfa;https://i.roamcdn.net/hz/ed/listing-thumb-543w/09198180fec901209d9e27e4573bc078/-/horizon-files-prod/ed/picture/qnmemvr/9b3e4735775ea9fe456f617987a5ff65d95e646e.jpg;https://www.expat-dakar.com/annonce/pare-brise-auto-4641427
Neuf;Dakar;50 000 F Cfa;https://i.roamcdn.net/hz/ed/listing-thumb-543w/09198180fec901209d9e27e4573bc078/-/horizon-files-prod/ed/picture/qnmemvr/9b3e4735775ea9fe456f617987a5ff65d95e646e.jpg;https://www.expat-dakar.com/annonce/pare-brise-auto-4641427
Neuf;Liberte 6;25 000 F Cfa;https://i.roamcdn.net/hz/ed/listing-thumb-543w/82144e24aded22cc1f9930211b8d4862/-/horizon-files-prod/ed/picture/qwqnjkm/ff82b022eb31bc0790462487e6319e30126549b6.jpg;https://www.expat-dakar.com/annonce/bache-auto-44-pvc-double-en-coton-4998928
Neuf;Dakar;25 000 F Cfa;https://i.roamcdn.net/hz/ed/listing-thumb-543w/82144e24aded22cc1f9930211b8d4862/-/horizon-files-prod/ed/picture/qwqnjkm/ff82b022eb31bc0790462487e6319e30126549b6.jpg;https://www.expat-dakar.com/annonce/bache-auto-44-pvc-double-en-coton-4998928
Neuf;Liberte 6;19 000 F Cfa;https://i.roamcdn.net/hz/ed/listing-thumb-543w/ba2be59597dd6cbace624de8c1f94ce5/-/horizon-files-prod/ed/picture/q2p85wd/127158192ae65e3e900719765612b4175686781b.jpg;https://www.expat-dakar.com/annonce/bache-auto-berline-4998939
Neuf;Dakar;19 000 F Cfa;https://i.roamcdn.net/hz/ed/listing-thumb-543w/ba2be59597dd6cbace624de8c1f94ce5/-/horizon-files-prod/ed/picture/q2p85wd/127158192ae65e3e900719765612b4175686781b.jpg;https://www.expat-dakar.com/annonce/bache-auto-berline-4998939
Neuf;Grand-Dakar;19 000 F Cfa;https://i.roamcdn.net/hz/ed/listing-thumb-543w/eccea144413b09e1b9148b1cda73a8d9/-/horizon-files-prod/ed/picture/q0re5dz/d8a8d6cac354a6faf63254a480dec7173890711e.png;https://www.expat-dakar.com/annonce/bache-voiture-4423969
Neuf;Dakar;19 000 F Cfa;https://i.roamcdn.net/hz/ed/listing-thumb-543w/eccea144413b09e1b9148b1cda73a8d9/-/horizon-files-prod/ed/picture/q0re5dz/d8a8d6cac354a6faf63254a480dec7173890711e.png;https://www.expat-dakar.com/annonce/bache-voiture-4423969
Neuf;Plateau;1 F Cfa;https://i.roamcdn.net/hz/ed/listing-thumb-543w/d805280b65ecf4418df07fc3d7978b1f/-/horizon-files-prod/ed/picture/q0m9qg8/9b9ca0344448abf4df8910e143a411e87fc875e6.jpg;https://www.expat-dakar.com/annonce/cric-hydraulic-electric-5014269
Neuf;Dakar;1 F Cfa;https://i.roamcdn.net/hz/ed/listing-thumb-543w/d805280b65ecf4418df07fc3d7978b1f/-/horizon-files-prod/ed/picture/q0m9qg8/9b9ca0344448abf4df8910e143a411e87fc875e6.jpg;https://www.expat-dakar.com/annonce/cric-hydraulic-electric-5014269
D'occasion;Sacré-cœur;100 000 F Cfa;https://i.roamcdn.net/hz/ed/listing-thumb-543w/fb873f18cdb5041d67366f0866bc6351/-/horizon-files-prod/ed/picture/qz95p5k/e945339c246da55537b0bb0dd1f6728f2c21a559.jpg;https://www.expat-dakar.com/annonce/pieces-ford-escape-4112343
D'occasion;Dakar;100 000 F Cfa;https://i.roamcdn.net/hz/ed/listing-thumb-543w/fb873f18cdb5041d67366f0866bc6351/-/horizon-files-prod/ed/picture/qz95p5k/e945339c246da55537b0bb0dd1f6728f2c21a559.jpg;https://www.expat-dakar.com/annonce/pieces-ford-escape-4112343
Neuf;Plateau;1 F Cfa;https://i.roamcdn.net/hz/ed/listing-thumb-543w/fd331a330e2e930dd634760bfacdab3e/-/horizon-files-prod/ed/picture/qk9ve4z/3ef8ba0ff61b8b8f6b50d5fa37fb4ab954ed9ac0.jpg;https://www.expat-dakar.com/annonce/maxy-compresseur-air-35l-5055814
Neuf;Dakar;1 F Cfa;https://i.roamcdn.net/hz/ed/listing-thumb-543w/fd331a330e2e930dd634760bfacdab3e/-/horizon-files-prod/ed/picture/qk9ve4z/3ef8ba0ff61b8b8f6b50d5fa37fb4ab954ed9ac0.jpg;https://www.expat-dakar.com/annonce/maxy-compresseur-air-35l-5055814
Neuf;Golf;1 000 F Cfa;https://i.roamcdn.net/hz/ed/listing-thumb-543w/30ed564b3474e7caf09d294fd8a63216/-/horizon-files-prod/ed/picture/qjvg4zr/c19fa8e717e67eaa7413ff31ae311a688b9c0661.jpg;https://www.expat-dakar.com/annonce/chargeur-ac-voiture-12v-cable-usb-1-metre-5079781
Neuf;Dakar;1 000 F Cfa;https://i.roamcdn.net/hz/ed/listing-thumb-543w/30ed564b3474e7caf09d294fd8a63216/-/horizon-files-prod/ed/picture/qjvg4zr/c19fa8e717e67eaa7413ff31ae311a688b9c0661.jpg;https://www.expat-dakar.com/annonce/chargeur-ac-voiture-12v-cable-usb-1-metre-5079781
Neuf;Patte d‘oie;40 000 F Cfa;https://i.roamcdn.net/hz/ed/listing-thumb-543w/5f1e87b597da50d356f74caed66a1df3/-/horizon-files-prod/ed/picture/q6094r4/19f491fefb10d58eb08a501a1721f505ae41eac4.jpg;https://www.expat-dakar.com/annonce/autoradio-ecran-tactile-7-pouces-multifonction-universel-5106366
Neuf;Dakar;40 000 F Cfa;https://i.roamcdn.net/hz/ed/listing-thumb-543w/5f1e87b597da50d356f74caed66a1df3/-/horizon-files-prod/ed/picture/q6094r4/19f491fefb10d58eb08a501a1721f505ae41eac4.jpg;https://www.expat-dakar.com/annonce/autoradio-ecran-tactile-7-pouces-multifonction-universel-5106366
Neuf;Liberte 6;20 000 F Cfa;https://i.roamcdn.net/hz/ed/listing-thumb-543w/f4a8c4daf118a37989e73c68dee8c24f/-/horizon-files-prod/ed/picture/q7nem5m/1e512ce4cd8ace74a798a68711c5728da351f0da.jpg;https://www.expat-dakar.com/annonce/baches-autoberline-5127089
Neuf;Dakar;20 000 F Cfa;https://i.roamcdn.net/hz/ed/listing-thumb-543w/f4a8c4daf118a37989e73c68dee8c24f/-/horizon-files-prod/ed/picture/q7nem5m/1e512ce4cd8ace74a798a68711c5728da351f0da.jpg;https://www.expat-dakar.com/annonce/baches-autoberline-5127089
Neuf;Liberte 6;25 000 F Cfa;https://i.roamcdn.net/hz/ed/listing-thumb-543w/0b37a8ff2d91d1d2cf2c3c1c2b347033/-/horizon-files-prod/ed/picture/qnrmzxv/e485cb6d9203bf6d6933b6ff85fd9b2fdfc02bf5.jpg;https://www.expat-dakar.com/annonce/baches-suv44-5127093
Neuf;Dakar;25 000 F Cfa;https://i.roamcdn.net/hz/ed/listing-thumb-543w/0b37a8ff2d91d1d2cf2c3c1c2b347033/-/horizon-files-prod/ed/picture/qnrmzxv/e485cb6d9203bf6d6933b6ff85fd9b2fdfc02bf5.jpg;https://www.expat-dakar.com/annonce/baches-suv44-5127093
Neuf;Liberte 6;20 000 F Cfa;https://i.roamcdn.net/hz/ed/listing-thumb-543w/60a2f180c0468049060335eef4f45086/-/horizon-files-prod/ed/picture/q9pqkv7/fc18cbf11f53d1e0d66b38ef978e82bebe227c28.jpg;https://www.expat-dakar.com/annonce/baches-auto-4868926
Neuf;Dakar;20 000 F Cfa;https://i.roamcdn.net/hz/ed/listing-thumb-543w/60a2f180c0468049060335eef4f45086/-/horizon-files-prod/ed/picture/q9pqkv7/fc18cbf11f53d1e0d66b38ef978e82bebe227c28.jpg;https://www.expat-dakar.com/annonce/baches-auto-4868926
